Year,Week_Number,mean_return,volatility,Label
2019,0,0.388,0.5262442398734639,Green
2019,1,0.4432,0.19508639111942175,Green
2019,2,0.2902,0.6230206256617833,Green
2019,3,-0.69325,1.4544587481259137,Red
2019,4,0.321,1.0926406088005334,Red
2019,5,-1.138,2.5514620318554617,Red
2019,6,0.514,0.7970721422807349,Green
2019,7,-0.01124999999999998,2.0011567279950864,Red
2019,8,0.04460000000000002,1.1952515634794207,Green
2019,9,-0.611,1.3828794235218052,Red
2019,10,-0.10420000000000004,0.7766026654602726,Red
2019,11,0.9094,1.9768107648432107,Green
2019,12,0.2288,0.9991459853294712,Green
2019,13,-0.1964,1.2840850049743593,Green
2019,14,0.2718,0.7468957089179185,Red
2019,15,0.3825,0.7966925379341769,Red
2019,16,0.33,1.3284758183723178,Red
2019,17,-0.9936,1.78159992703188,Red
2019,18,0.76,0.8801164695652502,Red
2019,19,-0.5566,0.7552574395528985,Red
2019,20,-0.1594,0.7537727111006342,Red
2019,21,-1.527,2.542209144294256,Red
2019,22,1.2746,0.7553451528936954,Green
2019,23,0.2362,1.4666808446284418,Green
2019,24,-0.366,1.0010894065966336,Red
2019,25,-0.7302000000000001,1.3446706659996714,Red
2019,26,1.05725,3.5553541197279723,Red
2019,27,-0.4410000000000001,0.3958850843363513,Red
2019,28,0.7372,0.9585377926821664,Green
2019,29,0.755,1.2554718236583409,Green
2019,30,1.6123999999999998,4.30541406835626,Red
2019,31,-0.3788,1.4987223558751634,Red
2019,32,0.5256,2.0174718833232843,Red
2019,33,-0.16060000000000005,1.2277443952223932,Red
2019,34,0.046800000000000036,1.3877451855438014,Red
2019,35,0.5687500000000001,1.4746462570166898,Red
2019,36,-0.26659999999999995,1.1803920111556159,Red
2019,37,0.12099999999999995,0.607262710859147,Green
2019,38,0.1174,0.6197618897608984,Green
2019,39,-0.392,1.338080528219434,Red
2019,40,-0.2218,0.7283170326169779,Red
2019,41,-0.057399999999999986,0.9858956841370188,Red
2019,42,-0.33840000000000003,0.8776908909177537,Red
2019,43,0.9076,1.3859019806609698,Green
2019,44,0.10039999999999996,0.8990707981021295,Red
2019,45,0.2112,0.8293091703339593,Green
2019,46,-0.04359999999999994,0.80136152889941,Red
2019,47,0.45725,0.9083635010280852,Green
2019,48,0.336,0.2733834303684113,Green
2019,49,0.009800000000000005,0.4492813149909531,Green
2019,50,0.7168,1.2038738305985393,Red
2019,51,0.1895,0.4579472313123714,Green
2019,52,0.0015000000000000011,0.7785245660863889,Green
2020,0,-0.833,1.9304015126392744,Green
2020,1,0.37200000000000005,0.5332340011664672,Green
2020,2,0.4608,0.19388063338043848,Green
2020,3,-0.54575,0.7532942652111458,Red
2020,4,-0.3262,0.6495888699785427,Green
2020,5,-1.141,4.152784969150221,Red
2020,6,1.082,0.7647444017447922,Green
2020,7,-0.8177500000000001,0.4344762172240655,Red
2020,8,-1.589,0.7587348021542177,Red
2020,9,1.1098000000000003,2.9726482637540554,Green
2020,10,0.27059999999999995,5.611210546753704,Red
2020,11,-2.3052,8.556046148776899,Red
2020,12,1.3338,3.7322171962521153,Green
2020,13,1.3614000000000002,1.997862557835248,Green
2020,14,-0.3205,1.7572991587471194,Green
2020,15,0.7224,1.189172106971905,Green
2020,16,-0.278,1.2760148901952515,Red
2020,17,0.2428,1.293063687526643,Green
2020,18,-0.3542,1.7510707295823318,Red
2020,19,0.12479999999999995,0.8132961945072656,Green
2020,20,-0.6188,1.3382388426585143,Red
2020,21,1.50475,1.7401604092726626,Green
2020,22,0.10479999999999996,1.5829073567331728,Red
2020,23,-0.603,2.4108558646256726,Red
2020,24,1.2895999999999996,1.148284503074042,Green
2020,25,-1.1764,1.4092912403048563,Red
2020,26,0.94875,0.9462583773297156,Red
2020,27,0.269,1.1201598100271228,Green
2020,28,0.4295999999999999,1.0579481556295656,Red
2020,29,0.0202,1.1702947064735445,Green
2020,30,0.10060000000000002,1.632791566612224,Red
2020,31,0.15419999999999998,0.5044013283091153,Red
2020,32,-0.1158,1.13080267951575,Red
2020,33,-0.0566,1.0453378879577646,Green
2020,34,0.4763999999999999,0.6230596279650928,Red
2020,35,-0.20380000000000004,1.7007044716822497,Red
2020,36,-1.38,1.9263462824736364,Red
2020,37,-0.7772,1.127673800351857,Red
2020,38,0.06360000000000003,1.7874502230831493,Green
2020,39,0.5144,0.8013000686384595,Green
2020,40,0.35239999999999994,0.7643358554980918,Green
2020,41,0.3774,0.3710017520174264,Red
2020,42,-0.1,0.6424056350935909,Red
2020,43,-1.185,0.7585585013695385,Green
2020,44,0.4649999999999999,1.1195619679142377,Green
2020,45,0.4486,1.8650171044792057,Red
2020,46,-0.22379999999999994,1.1703173501234612,Red
2020,47,-0.58325,1.6493991582795635,Red
2020,48,-0.16640000000000002,1.2239521232466573,Red
2020,49,-0.08100000000000003,0.7377075979004147,Red
2020,50,-0.0052000000000000275,1.052019343928618,Red
2020,51,-0.11925,0.7258775723219447,Red
2020,52,0.18600000000000003,1.0758401368233108,Red
